Name,Score
Eliud Kipchoge,1466
Birhanu Legese,1418
Lelisa Desisa,1397
Lawrence Cherono,1394
Mosinet Geremew,1382
Vincent Kipchumba,1373
Mule Wasihun,1370
Sisay Lemma,1369
El Mahjoub Dazza,1364
Kaan Kigen Özbilen,1360
Kelkile Gezahegn,1355
Soloman Deksisa,1351
Mathew Kipkoech Kisorio,1349
Mo Farah,1345
Asefa Mengstu,1341
Tsedat Abeje Ayana,1341
Bashir Abdi,1338
Amos Kipruto,1336
Elisha Rotich,1336
Benson Kipruto,1336
Geoffrey Kamworor,1335
Suguru Osako,1335
Barnabas Kiptum,1334
Shura Kitata,1333
El Hassan El Abbassi,1332
Emmanuel Saina,1328
Dejene Debela,1327
Fikre Bekele,1327
Dawit Wolde,1326
Leul Gebresilase,1321
Bedan Karoki,1319
Aychew Bantie,1319
Paul Lonyangata,1315
Albert Korir,1314
Andualem Belay Shiferaw,1313
Stephen Mokoka,1312
Reuben Kerio,1310
Herpasa Negasa,1309
Filex Kipchirchir Kiprotich,1308
Felix Kimutai,1307
Getaneh Molla,1306
Martin Kiprugut Kosgey,1306
Hayle Lemi,1303
Abrha Milaw Asefa,1303
Marius Kimutai,1303
Philemon Rono,1302
Kinde Atanaw,1300
Thomas Kiplagat,1299
Mekuant Ayenew Gebre,1298
Shifera Tamru,1297
Birhan Nebebew,1296
Mike Kiptum,1293
Abebe Negewo Degefa,1292
Daniel Kibet,1292
Gebretsadik Abraha,1291
Kenneth Kiprop Kipkemoi,1288
Yuta Shitara,1285
Seifu Tura,1285
Edwin Koech,1285
Evans Chebet,1283
Vincent Rono,1279
Philemon Kacheran,1279
Yitayal Atnafu Zerihun,1277
Tadesse Abraham,1277
Regasa Bejiga,1277
Anthony Maritim,1276
Abdi Nageeye,1276
Reuben Kiprop Kipyego,1275
Koen Naert,1274
Mohamed Ziani,1274
Michael Kunyuga,1273
Morris Munene Gachaga,1272
Jonathan Korir,1272
Deme Tadu Abate,1270
Guye Idemo Adola,1270
Justus Kimutai,1270
Solomon Kirwa Yego,1269
Bonsa Dida,1269
Tsegaye Kebede,1268
Callum Hawkins,1267
Felix Kipchirchir Kandie,1267
Titus Ekiru,1267
Tesfa Wokneth,1267
Kipkemoi Kipsang,1266
Tamirat Tola,1265
Asefa Mengisa,1265
Felix Chemonges,1263
Zersenay Tadese,1262
Abera Kuma,1261
Christian Pacheco,1259
Raymond Kipchumba Choge,1259
Alemu Bekele,1259
Yuma Hattori,1258
Silas Mwetich,1257
Ayele Abshero,1256
Berga Birhanu Bekele,1256
Galen Rupp,1253
Yihunilign Adane,1253
Taku Fujimoto,1251
Eric Kiptanui,1251
Joel Kemboi Kimurer,1251
Birhanu Teshome,1251
Belay Asefa Bedada,1251
Wilson Kipsang Kiprotich,1250
Solomon Mutai,1250
Okubay Tsegay,1249
Derlys Ayala,1248
Benson Seurei,1248
Aweke Ayalew,1248
Tesfaye Lencho Anbesa,1248
Tsegaye Getachew,1248
Daniel Muindi,1248
Mark Kosgei Kiptoo,1248
Maru Teferi,1247
Olika Adugna,1246
Betesfa Getahun,1246
Geoffrey Kirui,1246
Limenih Getachew,1246
Dickson Chumba,1245
Bazu Worku Hayla,1245
Amanuel Mesel,1244
Fikadu Kebede,1243
Hamid Ben Daoud,1242
Deribe Robi,1242
Guojian Dong,1241
Afewerk Mesfin,1241
Girmay Birhanu Gebru,1241
Shumet Akalnew,1239
Kenneth Keter,1238
Edwin Koech,1238
Adugna Takele,1238
Hillary Kipsambu,1237
Hicham Laqouahi,1237
Hiskel Tewelde,1236
Deso Gelmisa,1236
Chele Dechasa,1236
Dominic Ruto,1236
Gideon Kipkemoi Kipketer,1235
Ezekiel Kemboi Omullo,1235
Javier Guerra,1234
Samuel Ndungu,1233
Josphat Boit,1232
Jimma Shambel,1231
Hamza Sahli,1230
Dickson Tuwei,1229
Sondre Nordstad Moen,1228
Kennedy Cheboror,1228
Jackson Kiprop,1227
Asnake Dubre,1227
Balew Yihunle,1226
Robert Kipkemboi,1225
Barselius Kipyego,1224
Shogo Nakamura,1224
Goitom Kifle,1224
Laban Kipngetich Korir,1224
Fred Musobo,1223
Laban Mutai,1222
Paul Maina,1221
Othmane El Goumri,1221
Tesfamriam Samuel Tsegay,1220
Simon Kariuki,1220
Vincent Kipsegechi Yator,1219
Ryu Takaku,1218
Evans Korir,1218
Stanley Bett,1218
Abrar Osman,1218
Daisuke Uekado,1217
Yassine Rachik,1217
Douglas Kimeli,1217
Daichi Kamino,1216
Abdi Fufa,1216
Beshah Yersiie,1216
Joshua Kipkorir,1215
Yusuke Ogura,1214
Jo Fukuda,1214
Julius Tuwei,1214
Geofrey Kusuro,1213
Tariku Kinfu,1213
Terefa Debela,1213
Stephen Chemlany,1212
Fikadu Teferi,1212
Hosea Kiprono,1212
Eyob Ghebrehiwet Faniel,1211
Tsegay Tuemay,1211
Elija Kemboi,1211
Alemayehu Ameta Belachew,1211
Mohamed Reda El Aaraby,1211
Daniel Kinyua,1210
Augustino Paulo Sulle,1210
Ashenafi Moges,1210
Abdi Ali Gelelchu,1210
Girmaw Amare,1209
Polat Kemboi Arikan,1208
Leonard Langat,1208
Robert Kwambai,1208
Peter Kwemoi,1206
Silas Too,1206
Gizachew Negasa,1206
Duncan Kipkurui Maiyo,1206
Jake Robertson,1205
Shumi Dechasa,1205
Leonard Korir,1204
Abel Kipchumba,1204
Kang Bom Ri,1204
Jacob Kibet Chulyo Kendagor,1204
Duber Abdisha,1204
Lemi Dumecha,1203
Zelalem Bacha,1203
Samuel Kiplimo Kosgei,1202
Kiprotich Kirui,1201
Robert Chemonges,1201
Alphonce Felix Simbu,1201
Sammy Kigen,1201
Albert Kangogo,1200
Hosea Kipkemboi,1200
Abdi Kebede,1200
Abdela Godana,1198
Satoru Sasaki,1197
Kenji Yamamoto,1196
Andrew Ben Kimtai,1196
Shin Kimura,1195
Yohanes Ghebregergis,1194
Hillary Kipchumba,1194
Elroy Gelant,1192
Mathew Kipsaat,1192
Wondwosen Feleke,1192
Jared Ward,1190
Derara Hurisa,1189
Takuya Fujikawa,1187
Stephen Kiprotich,1187
Brimin Kipkorir,1187
Hiribo Shano,1187
Julius Kiprono,1187
Asbel Kipsang,1187
Shengo Kebede,1187
Olivier Irabaruta,1186
Jacob Riley,1186
Yuki Sato,1185
Masato Kikuchi,1185
Bethwel Yegon,1185
Fikadu Haftu,1184
Evans Sambu,1184
Emmanuel Kibet,1184
Alebachew Wale,1182
Merhawi Kesete,1182
Daniel Mateo,1181
Hayato Sonoda,1181
Bernard Too,1181
Bekele Muluneh,1181
Stephen Kiplimo,1180
Stephen Scullion,1179
Geoffrey Yegon,1179
Victor Kiplimo,1179
Scott Fauble,1178
Ezekiel Kimalel Cheboitibin,1178
Sylvester Kimeli Teimet,1177
Yuji Iwata,1177
Gezahagn Zelalem,1176
Liam Adams,1176
Daniel Mesfun,1176
Jackson Kibet Limo,1176
Brett Robinson,1175
Abdi Abdirahman,1175
Cameron Levins,1175
Cosmas Kyeva,1175
Deresa Geleta,1175
Yuki Kawauchi,1175
Fentahun Hunegnaw,1175
Dadi Yami Gemeda,1174
Nicholas Kirwa,1174
Noah Kiprotich Kigen,1174
Jianhua Peng,1173
Tadashi Isshiki,1173
Eulalio Munoz,1173
Edwin Kiptoo,1173
Kenneth Kiplagat,1173
David Kiprono,1173
Juan Pacheco,1173
Haimro Almaya,1172
Oqbe Kibrom Ruesom,1171
Bira Seboka,1170
Kenta Murayama,1169
Luke Kibet,1169
Alemu Gemechu,1169
Robert Chemosin,1169
Wilfred Kipkosgei Murgor,1168
Tadesse Tola,1168
Edwin Kosgei,1167
Kensuke Horio,1166
Thomas Ayeko,1165
Mikel Kiprotich Mutai,1165
Ryo Hashimoto,1165
Sahlesilassie Nigussie,1165
Yuichi Yasui,1164
Girma Bekele,1164
Werkuneh Seyoun Aboye,1164
Augustus Maiyo,1163
Bernard Kimani,1162
Minato Oishi,1162
Yuta Shimoda,1162
Jose Luis Santana Marin,1162
Festus Talam,1161
Eliud Kibet Too,1161
Cosmas Birech,1161
Mohamed El Talhaoui,1161
Joaquin Arbe,1160
Haruki Minatoya,1160
Moses Gaikarira,1160
Stephen Kipkoech Kibiwott,1160
Stephen Chebogut,1159
Nicholas Rotich,1158
Mogos Shumay,1158
Edwin Kirwa,1158
Taiga Ito,1158
Khoarahlane Seutloali,1158
Naoki Okamoto,1157
Husen Muhammed Esmail,1157
Il Ryong Han,1157
Takuya Fukatsu,1156
Monatcer Zaghou,1155
Nicolas Navarro,1155
Toshiki Sadakata,1154
Elisha Kiprop Barno,1154
Tebalu Zawude Heyi,1154
