Name,Performance,Place,Date
Birhanu LEGESE,2:04:15,Tokyo (JPN),01 MAR 2020
Birhanu LEGESE,2:02:48,Berlin (GER),29 SEP 2019
Birhanu LEGESE,2:04:15,Dubai (UAE),26 JAN 2018
Lelisa DESISA,2:10:40,"Corniche, Doha (QAT)",05 OCT 2019
Lelisa DESISA,2:05:59,"New York, NY (USA)",04 NOV 2018
Lelisa DESISA,2:11:32,"New York, NY (USA)",05 NOV 2017
Lelisa DESISA,2:05:52,Dubai (UAE),23 JAN 2015
Lelisa DESISA,2:11:06,"New York, NY (USA)",02 NOV 2014
Lelisa DESISA,2:04:45,Dubai (UAE),25 JAN 2013
Lawrence CHERONO,2:05:45,"Chicago, IL (USA)",13 OCT 2019
Lawrence CHERONO,2:04:06,Amsterdam (NED),21 OCT 2018
Lawrence CHERONO,2:05:09,Amsterdam (NED),15 OCT 2017
Lawrence CHERONO,2:07:24,Praha (CZE),08 MAY 2016
Lawrence CHERONO,2:09:39,Sevilla (ESP),22 FEB 2015
Mosinet GEREMEW,2:02:55,London (GBR),28 APR 2019
Mosinet GEREMEW,2:04:00,Dubai (UAE),26 JAN 2018
Mosinet GEREMEW,2:06:12,Berlin (GER),24 SEP 2017
Vincent KIPCHUMBA,2:05:09,Amsterdam (NED),20 OCT 2019
Vincent KIPCHUMBA,2:15:15,Mumbai (IND),21 JAN 2018
Vincent KIPCHUMBA,2:12:39,Wien (AUT),23 APR 2017
Vincent KIPCHUMBA,2:10:32,Dresden (GER),23 OCT 2016
Vincent KIPCHUMBA,2:15:22,Dresden (GER),18 OCT 2015
Vincent KIPCHUMBA,2:23:32,Eldoret (KEN),16 NOV 2014
Mule WASIHUN,2:03:16,London (GBR),28 APR 2019
Mule WASIHUN,2:04:37,Amsterdam (NED),21 OCT 2018
Mule WASIHUN,2:05:39,Amsterdam (NED),15 OCT 2017
Mule WASIHUN,2:05:44,Dubai (UAE),22 JAN 2016
Mule WASIHUN,2:10:57,Dubai (UAE),23 JAN 2015
Sisay LEMMA,2:04:51,Tokyo (JPN),01 MAR 2020
Sisay LEMMA,2:03:36,Berlin (GER),29 SEP 2019
