Place,Athlete,Country,Time
,Rosa Mota,POR,2:25:40
,Lisa Martin,AUS,2:25:53
,Katrin Dörre,GDR,2:26:21
4.,Tatyana Polovinskaya,URS,2:27:05
5.,Zhao Youfeng,CHN,2:27:06
6.,Laura Fogli,ITA,2:27:49
7.,Danièle Kaber,LUX,2:29:23
8.,Maria Curatolo,ITA,2:30:14
9.,Zoya Ivanova,URS,2:30:25
10.,Angie Pain,GBR,2:30:51
11.,Odette Lapierre,CAN,2:30:56
12.,Susan Tooby,GBR,2:31:33
13.,Karolina Szabo,HUN,2:32:26
14.,Françoise Bonnet,FRA,2:32:36
15.,Lee Mi-Ok,KOR,2:32:51
16.,Raisa Smekhnova,URS,2:33:19
17.,Nancy Ditz,USA,2:33:42
18.,Maria Rebelo-Lelut,FRA,2:33:47
19.,Jocelyne Villeton,FRA,2:34:02
20.,Conceição Ferreira,POR,2:34:23
21.,Kerstin Preßler,FRG,2:34:26
22.,Wanda Panfil,POL,2:34:35
23.,Antonella Bizioli,ITA,2:34:38
24.,Evy Palm,SWE,2:34:41
25.,Eriko Asai,JPN,2:34:41
26.,Lizanne Bussieres,CAN,2:35:03
27.,Gabriela Wolf,FRG,2:35:11
28.,Kumi Araki,JPN,2:35:15
29.,Misako Miyahara,JPN,2:35:26
30.,Zhong Huandi,CHN,2:36:02
31.,Ellen Rochefort,CAN,2:36:44
32.,Susan Crehan,GBR,2:36:57
33.,Lorraine Moller,NZL,2:37:52
34.,Carla Beurskens,NED,2:37:52
35.,Magda Ilands,BEL,2:38:02
36.,Sissel Grottenberg,NOR,2:38:17
37.,Im Eun-ju,KOR,2:38:21
38.,Marcianne Mukamurenzi,RWA,2:40:12
39.,Margaret Groos,USA,2:40:59
40.,Cathy O'Brien,USA,2:41:04
41.,Tuija Jousimaa,FIN,2:43:00
42.,Sinikka Keskitalo,FIN,2:43:00
43.,Blanca Jaime,MEX,2:43:00
44.,Angélica de Almeida,BRA,2:43:40
45.,Ludmila Melicherová,TCH,2:43:56
46.,Ailish Smyth,IRL,2:44:17
47.,Genoveva Eichenmann,SUI,2:44:37
48.,Rosmarie Müller,SUI,2:47:31
49.,Pascaline Wangui,KEN,2:47:42
50.,Apollinarie Nyinawabéra,RWA,2:49:18
51.,Maryse Justin,MRI,2:50:00
52.,Michelle Bush,CAY,2:51:30
53.,María del Pilar,GUA,2:51:33
54.,Li Juan,CHN,2:53:08
55.,Linda Hunter,ZIM,2:53:17
56.,Cornelia Melis,ARU,2:53:24
57.,Marie Murphy-Rollins,IRL,2:54:37
58.,Kriscia García,ESA,3:04:21
59.,Julie Ogborn,GUM,3:06:05
60.,Raj Kumari Pandey,NEP,3:10:31
61.,Menuka Rawat,NEP,3:11:17
62.,Arlene Vincent Mark,GRN,3:23:56
63.,Lourdes Klitzkie,GUM,3:25:32
64.,Mariana Ysrael,GUM,3:42:23
