Place,Athlete,Time
,Hwang Young-Cho (KOR),2:13:23
,Koichi Morishita (JPN),2:13:45
,Stephan Freigang (GER),2:14:00
4,Takeyuki Nakayama (JPN),2:14:02
5,Salvatore Bettiol (ITA),2:14:15
6,Salah Kokaich (MAR),2:14:25
7,Jan Huruk (POL),2:14:32
8,Hiromi Taniguchi (JPN),2:14:42
9,Diego García (ESP),2:14:56
10,Kim Jae-Ryong (KOR),2:15:01
11,Harri Hänninen (FIN),2:15:19
12,Steve Spence (USA),2:15:21
13,Ed Eyestone (USA),2:15:23
14,Boniface Merande (KEN),2:15:46
15,Bert van Vlaanderen (NED),2:15:47
16,Rex Wilson (NZL),2:15:51
17,Bob Kempainen (USA),2:15:53
18,Rodrigo Gavela (ESP),2:16:23
19,Karel David (TCH),2:16:34
20,Leszek Beblo (POL),2:16:38
21,Wiesław Perszke (POL),2:16:38
22,Yakov Tolstikov (EUN),2:17:04
23,Tena Negere (ETH),2:17:07
24,Osmiro Silva (BRA),2:17:16
25,Abel Mokibe (RSA),2:17:24
26,Robert de Castella (AUS),2:17:44
27,Steve Brace (GBR),2:17:49
28,Kim Wan-gi (KOR),2:18:32
29,Isidro Rico (MEX),2:18:52
30,Hussein Ahmed Salah (DJI),2:19:04
31,Dominique Chauvelier (FRA),2:19:09
32,José Montiel (ESP),2:19:15
33,Thabiso Moqhali (LES),2:19:28
34,Juma Ikangaa (TAN),2:19:34
35,Derek Froude (NZL),2:19:37
36,Douglas Wakiihuri (KEN),2:19:38
37,Ibrahim Hussein (KEN),2:19:49
38,Gyula Borka (HUN),2:20:46
39,Dave Long (GBR),2:20:51
40,Mirko Vindiš (SLO),2:21:03
41,Paul Davies-Hale (GBR),2:21:15
42,Elphas Ginindza (SWZ),2:21:15
43,Rolando Vera (ECU),2:21:30
44,Alessio Faustini (ITA),2:21:37
45,Luis Soares (FRA),2:21:57
46,Paul Kuété (CMR),2:22:43
47,Helmut Schmuck (AUT),2:23:38
48,Steve Moneghetti (AUS),2:23:42
49,Konrad Dobler (GER),2:23:44
50,Ralombo Mwenze (ZAI),2:23:47
51,John Treacy (IRL),2:24:11
52,Herman Suizo (PHI),2:25:18
53,Peter Reynierse (ARU),2:25:31
54,Nelson Zamora (URU),2:25:32
55,Daniel Böltz (SUI),2:25:50
56,Joseildo da Silva (BRA),2:26:00
57,Juan Camacho (BOL),2:26:01
58,Cephas Matafi (ZIM),2:26:17
59,Mohamed Selmi (ALG),2:26:56
60,Ildephonse Sehirwa (RWA),2:27:44
61,Zerehune Gizaw (ETH),2:28:25
62,Jaime Ojeda (CHI),2:28:39
63,Smartex Tambala (MAW),2:29:02
64,Pascal Zilliox (FRA),2:30:02
65,Luis López (CRC),2:30:26
66,Gian Luigi Macina (SMR),2:30:45
67,Abdou Manzo (NIG),2:31:15
68,Roland Willie (LIE),2:31:32
69,Frank Kayele (NAM),2:31:41
70,Hari Bahadur Rokaya (NEP),2:32:26
71,Kuruppu Karunaratne (SRI),2:32:26
72,Tommy Hughes (IRL),2:32:55
73,William Aguirre (NCA),2:34:18
74,Ferdinand Amadi (CAF),2:35:39
75,Mohamed Khamis Taher (LBA),2:35:46
76,Dieudonné LaMothe (HAI),2:36:11
77,Myint Kan (MYA),2:37:39
78,Calvin Dallas (ISV),2:38:11
79,Saad Mubarak Ali (BRN),2:39:19
80,Ryu Ok-hyon (PRK),2:40:51
81,Alain Razahasoa (MAD),2:41:41
82,Michael Lopeyok (UGA),2:42:54
83,Benjamin Keleketu (BOT),2:45:57
84,Moussa El-Hariri (SYR),2:47:06
85,Lưu Văn Hùng (VIE),2:56:42
86,Hussein Haleem (MDV),3:04:16
87,Pyambuugiin Tuul (MGL),4:00:44
