Rank,Athlete,Country,Time,Note
,Naoko Takahashi,Japan,2:23:14,OR
,Lidia Şimon,Romania,2:23:22,
,Joyce Chepchumba,Kenya,2:24:45,SB
4,Esther Wanjiru,Kenya,2:26:17,
5,Madina Biktagirova,Russia,2:26:33,SB
6,Elfenesh Alemu,Ethiopia,2:26:54,
7,Eri Yamaguchi,Japan,2:27:03,SB
8,Ham Bong-Sil,North Korea,2:27:07,PB
9,Fatuma Roba,Ethiopia,2:27:38,
10,Ren Xiujuan,China,2:27:55,
11,Kerryn McCann,Australia,2:28:37,
12,Maura Viceconte,Italy,2:29:26,
13,Tegla Loroupe,Kenya,2:29:45,
14,Irina Bogachova,Kyrgyzstan,2:29:55,
15,Ari Ichihashi,Japan,2:30:34,
16,Adriana Fernández,Mexico,2:30:51,
17,Judit Földing-Nagy,Hungary,2:30:54,SB
18,Ornella Ferrara,Italy,2:31:32,
19,Christine Clark,United States,2:31:35,PB
20,Jong Yong-Ok,North Korea,2:31:40,PB
21,Manuela Machado,Portugal,2:32:29,
22,Nadezhda Wijenberg,Netherlands,2:32:29,SB
23,Lyubov Morgunova,Russia,2:32:35,
24,Sonja Oberem,Germany,2:33:45,
25,Martha Tenorio,Ecuador,2:33:54,
26,Marian Sutton,Great Britain,2:34:33,
27,Érika Olivera,Chile,2:35:07,SB
28,Kim Chang-Ok,North Korea,2:35:32,SB
29,Alina Gherasim,Romania,2:36:16,
30,Ana Isabel Alonso,Spain,2:36:45,
31,Colleen De Reuck,South Africa,2:36:48,
32,María Portillo Cruz,Peru,2:36:50,
33,Griselda González,Spain,2:38:28,
34,Oh Mi-Ja,South Korea,2:38:42,
35,Susan Hobson,Australia,2:38:44,
36,Gadissie Edato,Ethiopia,2:42:29,
37,Serap Aktaş,Turkey,2:42:40,
38,Daria Nauer,Switzerland,2:43:00,
39,María Luisa Muñoz,Spain,2:45:40,
40,Iglandini González,Colombia,2:47:26,
41,Gulsara Dadabayeva,Tajikistan,2:51:03,NR
42,Gina Coello,Honduras,3:02:32,
43,Aguida Amaral,Individual Olympic Athletes,3:10:55,
44,Rhonda Davidson-Alley,Guam,3:13:58,
45,Sirivanh Ketavong,Laos,3:34:27,
