Rank[6],Name,Nationality,Result,Notes
,Mizuki Noguchi,Japan,2:26:20,
,Catherine Ndereba,Kenya,2:26:32,
,Deena Kastor,United States,2:27:20,SB
4,Elfenesh Alemu,Ethiopia,2:28:15,
5,Reiko Tosa,Japan,2:28:44,
6,Olivera Jevtić,Serbia and Montenegro,2:31:15,
7,Naoko Sakamoto,Japan,2:31:43,
8,Lyudmila Petrova,Russia,2:31:56,
9,Svetlana Zakharova,Russia,2:32:04,
10,Bruna Genovese,Italy,2:32:50,
11,Alice Chelangat,Kenya,2:33:52,
12,Zhang Shujing,China,2:34:34,
13,Nuța Olaru,Romania,2:34:45,
14,Živilė Balčiūnaitė,Lithuania,2:35:01,
15,Corinne Raux,France,2:35:54,
16,Rosaria Console,Italy,2:35:56,
17,Małgorzata Sobańska,Poland,2:36:43,
18,Luminita Zaituc,Germany,2:36:45,
19,Lee Eun-jung,South Korea,2:37:23,
20,Constantina Diţă,Romania,2:37:31,
21,Jong Yong-ok,North Korea,2:37:52,
22,Li Helan,China,2:37:53,
23,Chung Yun-hee,South Korea,2:38:57,
24,Stine Larsen,Norway,2:39:55,
25,Liz Yelling,Great Britain,2:40:13,
26,María Abel,Spain,2:40:13,
27,Hafida Izem,Morocco,2:40:46,
28,Anna Pichrtová,Czech Republic,2:40:58,
29,Tracey Morris,Great Britain,2:41:00,
30,Kenza Wahbi,Morocco,2:41:36,
31,Kerryn McCann,Australia,2:41:41,
32,Beatriz Ros,Spain,2:41:51,
33,Zhou Chunxiu,China,2:42:54,
34,Jennifer Rhines,United States,2:43:52,
35,Choi Gyeong-hui,South Korea,2:44:05,
36,Sandra Ruales,Ecuador,2:44:28,
37,María Dolores Pulido,Spain,2:44:33,
38,Margarita Tapia,Mexico,2:46:14,
39,Colleen de Reuck,United States,2:46:30,
40,Albina Ivanova,Russia,2:47:23,
41,Grażyna Syrek,Poland,2:47:26,
42,Nili Abramski,Israel,2:48:08,
43,Clarisse Rasoarizay,Madagascar,2:48:14,
44,Jane Salumäe,Estonia,2:48:47,
45,Simona Staicu,Hungary,2:48:57,
46,Angélica Sánchez,Mexico,2:49:04,
47,Helena Sampaio,Portugal,2:49:18,
48,Beáta Rakonczai,Hungary,2:49:41,
49,Annemette Jensen,Denmark,2:50:01,
50,Georgia Abatzidou,Greece,2:50:01,
51,Liza Hunter-Galvan,New Zealand,2:50:23,
52,Hafida Gadi,France,2:50:29,
53,Gulsara Dadabaeva,Tajikistan,2:50:45,
54,Epiphanie Nyirabarame,Rwanda,2:52:50,SB
55,Sandra Torres,Argentina,2:54:48,
56,Jo Bun-hui,North Korea,2:55:54,
57,Hsu Yu-fang,Chinese Taipei,2:55:58,
58,Érika Olivera,Chile,2:57:14,
59,Mariela González,Cuba,3:02:20,
60,Ida Kovács,Hungary,3:03:21,
61,Svetlana Şepelev-Tcaci,Moldova,3:03:29,
62,Ana Dias,Portugal,3:08:11,
63,Inga Juodeškienė,Lithuania,3:09:18,
64,Mamokete Lechela,Lesotho,3:11:56,
65,Aguida Amaral,East Timor,3:18:25,
66,Luvsanlkhündegiin Otgonbayar,Mongolia,3:48:42,
