Rank,Name,Nationality,Time,Notes
,Jemima Sumgong,Kenya,2:24:04,
,Eunice Kirwa,Bahrain,2:24:13,
,Mare Dibaba,Ethiopia,2:24:30,
4,Tirfi Tsegaye,Ethiopia,2:24:47,
5,Volha Mazuronak,Belarus,2:24:48,
6,Shalane Flanagan,United States,2:25:26,SB
7,Desiree Linden,United States,2:26:08,SB
8,Rose Chelimo,Bahrain,2:27:36,
9,Amy Cragg,United States,2:28:25,
10,Kim Hye-song,North Korea,2:28:36,SB
11,Kim Hye-gyong,North Korea,2:28:36,
12,Jeļena Prokopčuka,Latvia,2:29:32,
13,Valeria Straneo,Italy,2:29:44,SB
14,Kayoko Fukushi,Japan,2:29:53,
15,Gladys Tejeda,Peru,2:29:55,SB
16,Ana Dulce Félix,Portugal,2:30:39,
17,Diana Lobačevskė,Lithuania,2:30:48,
18,Milly Clark,Australia,2:30:53,
19,Tomomi Tanaka,Japan,2:31:12,
20,Fionnuala McCormack,Ireland,2:31:22,PB
21,Iwona Lewandowska,Poland,2:31:41,
22,Jessica Trengove,Australia,2:31:44,
23,Monika Stefanowicz,Poland,2:32:49,
24,Lanni Marchant,Canada,2:33:08,
25,Catherine Bertone,Italy,2:33:29,
26,Eva Vrabcová-Nývltová,Czech Republic,2:33:51,
27,Lilia Fisikowici,Moldova,2:34:05,PB
28,Alyson Dixon,Great Britain,2:34:11,
29,Maja Neuenschwander,Switzerland,2:34:27,
30,Sonia Samuels,Great Britain,2:34:36,
31,Lisa Jane Weightman,Australia,2:34:41,
32,Madaí Pérez,Mexico,2:34:42,
33,Olha Kotovska,Ukraine,2:34:57,SB
34,Azucena Díaz,Spain,2:35:02,
35,Krista DuChene,Canada,2:35:29,
36,Jovana de la Cruz,Peru,2:35:49,
37,Rasa Drazdauskaitė,Lithuania,2:35:50,
38,Vaida Žūsinaitė,Lithuania,2:35:53,
39,Yiu Kit Ching,Hong Kong,2:36:11,NR
40,Jessica Draskau-Petersson,Denmark,2:36:14,
41,Beata Naigambo,Namibia,2:36:32,
42,Ahn Seul-ki,South Korea,2:36:50,
43,Angie Orjuela,Colombia,2:37:05,
44,Anja Scherl,Germany,2:37:23,
45,Maryna Damantsevich,Belarus,2:37:34,
46,Mai Ito,Japan,2:37:37,
47,Veerle Dejaeghere,Belgium,2:37:39,
48,Margarita Hernández,Mexico,2:38:15,
49,Kim Kum-ok,North Korea,2:38:24,
50,Kenza Dahmani,Algeria,2:38:37,
51,Anne-Mari Hyryläinen,Finland,2:39:02,
52,Zsófia Erdélyi,Hungary,2:39:04,
53,Yue Chao,China,2:39:09,
54,Sitora Hamidova,Uzbekistan,2:39:45,PB
55,Anne Holm Baumeister,Denmark,2:39:49,
56,Helalia Johannes,Namibia,2:39:55,
57,Lizzie Lee,Ireland,2:39:57,
58,Esma Aydemir,Turkey,2:39:59,
59,Iuliia Andreeva,Kyrgyzstan,2:40:34,
60,Andrea Deelstra,Netherlands,2:40:49,
61,Ilona Marhele,Latvia,2:41:02,
62,Viktoriia Poliudina,Kyrgyzstan,2:41:37,
63,Dina Lebo Phalula,South Africa,2:41:46,
64,Andrea Mayr,Austria,2:41:52,
65,Krisztina Papp,Hungary,2:42:03,
66,Svitlana Stanko-Klymenko,Ukraine,2:42:26,
67,Mayada Al-Sayad,Palestine,2:42:28,
68,Nyakisi Adero,Uganda,2:42:39,SB
69,Adriana Aparecida da Silva,Brazil,2:43:22,
70,Lim Kyung-hee,South Korea,2:43:31,
71,Beverly Ramos,Puerto Rico,2:43:52,
