Date,Label,Distance,Competition,Venue,Country,Men's winner,Women's winner
3 January 2015,Gold,Marathon,Xiamen International Marathon,Xiamen,China,[[]] (),[[]] ()
18 January 2015,Bronze,Marathon,Chevron Houston Marathon,Houston,United States,[[]] (),[[]] ()
23 January 2015,Gold,Marathon,Standard Chartered Dubai Marathon,Dubai,United Arab Emirates,[[]] (),[[]] ()
25 January 2015,Silver,Marathon,Osaka Women's Marathon,Osaka,Japan,[[]] (),[[]] ()
25 January 2015,Silver,Marathon,Standard Chartered Hong Kong Marathon,Hong Kong,China,[[]] (),[[]] ()
1 February 2015,Silver,Marathon,Beppu-Oita Mainichi Marathon,Ōita,Japan,[[]] (),[[]] ()
1 February 2015,Silver,Half marathon,Kagawa Marugame International Half Marathon,Marugame,Japan,[[]] (),[[]] ()
22 February 2015,Bronze,Marathon,Zurich Maraton de Sevilla,Seville,Spain,[[]] (),[[]] ()
22 February 2015,Gold,Marathon,Tokyo Marathon,Tokyo,Japan,[[]] (),[[]] ()
1 March 2015,Gold,Half marathon,RomaOstia Half Marathon,Rome,Italy,[[]] (),[[]] ()
1 March 2015,Gold,10K run,World's Best 10K,San Juan,Puerto Rico,[[]] (),[[]] ()
1 March 2015,Gold,Marathon,Lake Biwa Mainichi Marathon,Ōtsu,Japan,[[]] (),[[]] ()
8 March 2015,Gold,Marathon,Nagoya Women's Marathon,Nagoya,Japan,[[]] (),[[]] ()
15 March 2015,Gold,Marathon,Seoul International Marathon,Seoul,South Korea,[[]] (),[[]] ()
22 March 2015,Bronze,Marathon,New Taipei Wan Jin Shi Marathon,New Taipei City,Taiwan,[[]] (),[[]] ()
22 March 2015,Gold,Half marathon,EDP Half Marathon of Lisbon,Lisbon,Portugal,[[]] (),[[]] ()
22 March 2015,Gold,Marathon,Maratona di Rome,Rome,Italy,[[]] (),[[]] ()
28 March 2015,Gold,Half marathon,Sportisimo Prague Half Marathon,Prague,Czech Republic,[[]] (),[[]] ()
5 April 2015,Silver,Marathon,Daegu International Marathon,Daegu,South Korea,[[]] (),[[]] ()
11 April 2015,Silver,10K run,Great Ireland Run,Dublin,Ireland,[[]] (),[[]] ()
12 April 2015,Bronze,Marathon,SuisseGas Milan Marathon,Milan,Italy,[[]] (),[[]] ()
12 April 2015,Bronze,Marathon,Brighton Marathon,Brighton,United Kingdom,[[]] (),[[]] ()
12 April 2015,Gold,Marathon,Marathon Rotterdam,Rotterdam,Netherlands,[[]] (),[[]] ()
12 April 2015,Gold,Marathon,Vienna City Marathon,Vienna,Austria,[[]] (),[[]] ()
12 April 2015,Gold,Marathon,Schneider Electric Marathon de Paris,Paris,France,[[]] (),[[]] ()
12 April 2015,Bronze,Marathon,Maraton de Santiago,Santiago,Chile,[[]] (),[[]] ()
19 April 2015,Silver,Marathon,Lodz Maraton Dbam o Zdrowie,Łódź,Poland,[[]] (),[[]] ()
19 April 2015,Gold,Half marathon,Yangzhou Jianzhen International Half Marathon,Yangzhou,China,[[]] (),[[]] ()
19 April 2015,Silver,Marathon,HAJ Hannover Marathon,Hannover,Germany,[[]] (),[[]] ()
19 April 2015,Bronze,Marathon,Nagano Marathon,Nagano,Japan,[[]] (),[[]] ()
20 April 2015,Gold,Marathon,B.A.A. Boston Marathon,Boston,United States,[[]] (),[[]] ()
26 April 2015,Gold,Marathon,Virgin Money London Marathon,London,United Kingdom,[[]] (),[[]] ()
26 April 2015,Silver,Marathon,Yellow River Estuary International Marathon,Dongying,China,[[]] (),[[]] ()
26 April 2015,Silver,Marathon,Orlen Warsaw Marathon,Warsaw,Poland,[[]] (),[[]] ()
26 April 2015,Silver,Marathon,Rock'n'Roll Madrid Marathon & Half,Madrid,Spain,[[]] (),[[]] ()
3 May 2015,Gold,Marathon,Volkswagen Prague Marathon,Prague,Czech Republic,[[]] (),[[]] ()
10 May 2015,Gold,10K run,The Great Manchester Run,Manchester,United Kingdom,[[]] (),[[]] ()
16 May 2015,Bronze,10K run,Okpekpe 10km Road Race,Okpekpe,Nigeria,[[]] (),[[]] ()
17 May 2015,Bronze,Marathon,Lattelecom Riga Marathon,Riga,Latvia,[[]] (),[[]] ()
17 May 2015,Silver,Half marathon,Gifu Seiryu Half Marathon,Gifu,Japan,[[]] (),[[]] ()
23 May 2015,Silver,Half marathon,Mattoni Karlovy Vary Half Marathon,Karlovy Vary,Czech Republic,[[]] (),[[]] ()
23 May 2015,Gold,10K run,Ottawa 10K,Ottawa,Canada,[[]] (),[[]] ()
24 May 2015,Silver,Marathon,Ottawa Marathon,Ottawa,Canada,[[]] (),[[]] ()
30 May 2015,Silver,5K run,Freihofer's Run for Women,New York City,United States,[[]] (),[[]] ()
31 May 2015,Bronze,Marathon,The Edinburgh Marathon,Edinburgh,United Kingdom,[[]] (),[[]] ()
6 June 2015,Silver,Half marathon,Mattoni Ceske Budejovice Half Marathon,České Budějovice,Czech Republic,[[]] (),[[]] ()
13 June 2015,Bronze,10K run,Corrida de Langueux,Langueux,France,[[]] (),[[]] ()
20 June 2015,Gold,Half marathon,Mattoni Olomouc Half Marathon,Olomouc,Czech Republic,[[]] (),[[]] ()
5 July 2015,Gold,Marathon,Gold Coast Airport Marathon,Queensland,Australia,[[]] (),[[]] ()
26 July 2015,Gold,Half marathon,Bogota International Half Marathon,Bogotá,Colombia,[[]] (),[[]] ()
5 September 2015,Gold,10K run,Birell Prague Grand Prix,Prague,Czech Republic,[[]] (),[[]] ()
12 September 2015,Gold,Half marathon,Mattoni Usti nad Labem Half Marathon,Ústí nad Labem,Czech Republic,[[]] (),[[]] ()
13 September 2015,Gold,Half marathon,Great North Run,Newcastle upon Tyne,United Kingdom,[[]] (),[[]] ()
13 September 2015,Bronze,Half marathon,Copenhagen Half Marathon,Copenhagen,Denmark,[[]] (),[[]] ()
20 September 2015,Silver,Marathon,Cape Town Marathon,Cape Town,South Africa,[[]] (),[[]] ()
20 September 2015,Gold,Marathon,Blackmores Sydney Marathon,Sydney,Australia,[[]] (),[[]] ()
20 September 2015,Gold,10K run,Carrera de la Mujer,Bogotá,Colombia,[[]] (),[[]] ()
20 September 2015,Bronze,Marathon,Siberian International Marathon,Omsk,Russia,[[]] (),[[]] ()
20 September 2015,Silver,10 miles,Dam Tot Damloop,Amsterdam,Netherlands,[[]] (),[[]] ()
20 September 2015,Gold,Marathon,Beijing Marathon,Beijing,China,[[]] (),[[]] ()
27 September 2015,Gold,Marathon,BMW Berlin Marathon,Berlin,Germany,[[]] (),[[]] ()
4 October 2015,Bronze,Marathon,Bournemouth Marathon,Bournemouth,United Kingdom,[[]] (),[[]] ()
4 October 2015,Gold,Half marathon,Bank of Scotland Great Scottish Run,Glasgow,United Kingdom,[[]] (),[[]] ()
11 October 2015,Bronze,20K run,20 Kilometres de Paris,Paris,France,[[]] (),[[]] ()
11 October 2015,Gold,Marathon,Bank of America Chicago Marathon,Chicago,United States,[[]] (),[[]] ()
18 October 2015,Silver,Half marathon,Great Birmingham Run,Birmingham,United Kingdom,[[]] (),[[]] ()
18 October 2015,Gold,Marathon,Scotiabank Toronto Waterfront Marathon,Toronto,Canada,[[]] (),[[]] ()
18 October 2015,Silver,Half marathon,Medio Maraton Valencia Trinidad Alfonso,Valencia,Spain,[[]] (),[[]] ()
18 October 2015,Gold,Marathon,TCS Amsterdam Marathon,Amsterdam,Netherlands,[[]] (),[[]] ()
18 October 2015,Gold,Half marathon,RNR Half Marathon Vodafone RTP,Lisbon,Portugal,[[]] (),[[]] ()
18 October 2015,Gold,Marathon,RNR Marathon of Lisbon EDP,Lisbon,Portugal,[[]] (),[[]] ()
25 October 2015,Gold,10 miles,Great South Run,Portsmouth,United Kingdom,[[]] (),[[]] ()
25 October 2015,Silver,Marathon,30th Venice Marathon,Venice,Italy,[[]] (),[[]] ()
25 October 2015,Silver,20K run,Marseille Cassis 20km,Marseille,France,[[]] (),[[]] ()
25 October 2015,Gold,Marathon,Frankfurt Marathon,Frankfurt,Germany,[[]] (),[[]] ()
