Date,Label,Competition,Status,Venue,Country,Men's winner,Women's winner
5-Jan-20,Gold,Xiamen Marathon,,Xiamen,China,,
12-Jan-20,Gold,10K Valencia Ibercaja,,Valencia,Spain,,
19-Jan-20,Gold,Aramco Houston Half Marathon,,Houston,United States,,
19-Jan-20,Gold,Chevron Houston Marathon,,Houston,United States,,
19-Jan-20,Gold,Tata Mumbai Marathon,,Mumbai,India,,
24-Jan-20,Gold,Standard Chartered Dubai Marathon,,Dubai,United Arab Emirates,,
26-Jan-20,Gold,Osaka Women's Marathon,,Osaka,,,
2-Feb-20,Silver,Kagawa Marugame International Half Marathon,,Marugame,,,
8-Feb-20,Silver,Access Bank Lagos City Marathon,,"Lagos, NGR",,,
9-Feb-20,Bronze,SemiMarathon International de Safi,Postponed Indefinitely,Safi,,,
9-Feb-20,Bronze,Buriram Marathon,,Buriram,,,
9-Feb-20,Gold,Standard Chartered Hong Kong Marathon,Cancelled For 2020,Hong Kong,Hong Kong,,
16-Feb-20,Bronze,Maratón BP Castellón,,Castellón,,,
16-Feb-20,Gold,XXXIV Medio Maratón Internacional Guadalajara Electrolit,,Guadalajara,,,
16-Feb-20,Gold,eDreams Mitja Marató de Barcelona,,Barcelona,Spain,,
21-Feb-20,Gold,Ras Al Khaimah Half Marathon,,Ras Al Khaimah,,,
23-Feb-20,Gold,Zurich Maratón de Sevilla,,Sevilla,,,
23-Feb-20,Bronze,Napoli City Half Marathon,,Napoli,,,
1-Mar-20,Platinum,Tokyo Marathon,,Tokyo,,,
8-Mar-20,Gold,Huawei RomaOstia Half Marathon,Cancelled For 2020,Rome,Italy,,
8-Mar-20,Gold,The 75th Lake Biwa Mainichi Marathon,,Otsu,,,
8-Mar-20,Platinum,Nagoya Women's Marathon,,Nagoya,,,
15-Mar-20,Silver,New Taipei City Wan Jin Shi Marathon,Cancelled For 2020,New Taipei City,Taiwan,,
15-Mar-20,Bronze,Suzhou Jinji Lake Half Marathon,Postponed Indefinitely,Suzhou,,,
22-Mar-20,Silver,Wuxi Marathon,Postponed Indefinitely,Wuxi,,,
22-Mar-20,Platinum,Seoul Marathon,Cancelled For 2020,Seoul,South Korea,,
22-Mar-20,Silver,Mersin Marathon,Postponed Indefinitely,Mersin,,,
29-Mar-20,Silver,Acea Run Rome The Marathon,Cancelled For 2020,Roma,,,
5-Apr-20,Silver,Daegu International Marathon,Cancelled For 2020,Daegu,,,
5-Apr-20,Silver,Generali Milano Marathon,Postponed Indefinitely,Milano,Italy,,
5-Apr-20,Bronze,GENERALI BERLINER HALBMARATHON,Postponed Indefinitely,Berlin,Germany,,
5-Apr-20,Silver,Work.ua Kyiv Half Marathon,Cancelled For 2020,Kyiv,,,
12-Apr-20,Silver,Dongfeng Renault Wuhan Marathon,Postponed Indefinitely,Wuhan,Spain,,
12-Apr-20,Bronze,Mangyongdae Prize Marathon,Cancelled For 2020,Pyongyang,North Korea,,
12-Apr-20,Bronze,Gunsan Saemangeum International Marathon (Men's),Cancelled For 2020,Gunsan,,,
19-Apr-20,Gold,Vienna City Marathon,Cancelled For 2020,Vienna,Austria,,
19-Apr-20,Bronze,Enschede Marathon,Postponed Indefinitely,Enschede,,,
26-Apr-20,Gold,Yellow River Estuary International Marathon,Postponed Indefinitely,Dongying,,,
26-Apr-20,Gold,Rock 'n' Roll Madrid Maraton,Postponed Indefinitely,Madrid,Spain,,
26-Apr-20,Gold,Gifu Half Marathon,Cancelled For 2020,Gifu,,,
26-Apr-20,Silver,HAJ Hannover Marathon,Cancelled For 2020,Hannover,,,
3-May-20,Gold,Volkswagen Prague Marathon,Postponed Indefinitely,Praha,,,
10-May-20,Bronze,Harmony Geneva Marathon for Unicef,Postponed Indefinitely,Genève,Switzerland,,
17-May-20,Bronze,Copenhagen Marathon,Cancelled For 2020,København,,,
17-May-20,Silver,FNB Cape Town 12 ONERUN,Postponed Indefinitely,Cape Town,South Africa,,
17-May-20,Gold,Rimi Riga Marathon,Postponed Indefinitely,Riga,,,
23-May-20,Silver,Okpekpe Intn'l 10km Road Race,Cancelled For 2020,Okpekpe,,,
23-May-20,Silver,PZU Warsaw Half Marathon,Postponed Indefinitely,Warsaw,,,
24-May-20,Gold,Scotiabank Ottawa Marathon,Cancelled For 2020,"Ottawa, CAN",,,
31-May-20,Silver,Dalian International Marathon,Postponed Indefinitely,Dalian,,,
12-Jun-20,Bronze,Heineken 0.0 Karlovački cener,,Karlovac,,,
14-Jun-20,Gold,Bank of Lanzhou Cup  Lanzhou International Marathon,,Lanzhou,,,
21-Jun-20,Bronze,Le 10KM de Port Gentil,,Port Gentil,,,
21-Jun-20,Bronze,Jilin City International Marathon,Postponed Indefinitely,Jilin,,,
27-Jun-20,Bronze,Vidovdanska Trka 10KM,,Brcko,,,
5-Jul-20,Gold,Village Roadshow Theme Parks Gold Coast Marathon,,Gold Coast,,,
12-Jul-20,Silver,FNB Durban 10K CITYSURFRUN,,Durban,,,
25-Jul-20,Bronze,Nelson Mandela Bay Half Marathon,,Port Elizabeth,,,
26-Jul-20,Platinum,media maratón de Bogotá,,Bogotá,,,
26-Jul-20,Bronze,Giro Podistico di Castelbuono,,Castelbuono,,,
16-Aug-20,Bronze,Meia Maratona Internacional do Rio de Janeiro,,Rio de Janeiro,Brazil,,
23-Aug-20,Bronze,21K Buenos Aires,,Buenos Aires,,,
30-Aug-20,Gold,Telcel Mexico City Marathon,,Mexico City,Mexico,,
30-Aug-20,Bronze,Harbin International Marathon,,Haerbin,,,
30-Aug-20,Bronze,Maybank Marathon Bali,,Bali,,,
5-Sep-20,Gold,Birell Prague Grand Prix,,Praha,,,
5-Sep-20,Bronze,Asics Stockholm Marathon,,Stockholm,Sweden,,
6-Sep-20,Bronze,Astana Marathon,,Nur-Sultan (KAZ),,,
6-Sep-20,Bronze,Yingkou Bayuquan Marathon,,Yingkou,,,
6-Sep-20,Gold,EDP Meia Maratona de Lisboa,,Lisbon,Portugal,,
6-Sep-20,Gold,Sportisimo Prague Half Marathon,,Praha,,,
6-Sep-20,Bronze,Volkswagen Bucharest Half Marathon,,Bucuresti,,,
12-Sep-20,Bronze,Tallinn Half Marathon,,Tallinn,,,
13-Sep-20,Bronze,Tallinn Marathon,,Tallinn,,,
13-Sep-20,Gold,Copenhagen Half Marathon,,København,,,
13-Sep-20,Silver,Minsk Half Marathon,,Minsk,,,
13-Sep-20,Gold,Haspa Marathon Hamburg,,Hamburg,,,
13-Sep-20,Gold,TCS World 10K Bengaluru,,Bengaluru,India,,
14-Sep-20,Platinum,B.A.A. Boston Marathon,,"Boston, MA",,,
19-Sep-20,Gold,Sydney Running Festival / Sydney Marathon,,Sydney,Australia,,
20-Sep-20,Bronze,Maratón de Buenos Aires Ñandú,,Buenos Aires,Argentina,,
20-Sep-20,Bronze,Hyundai Porto Half Marathon,,Porto,,,
20-Sep-20,Gold,Taiyuan International Marathon,,Taiyuan,,,
20-Sep-20,Gold,Hengshui Lake International Marathon,,Hengshui,,,
20-Sep-20,Gold,Vodafone Istanbul Half Marathon,,Istanbul,Turkey,,
24-Sep-20,Bronze,FNB Joburg 10K CITYRUN,,Johannesburg,South Africa,,
26-Sep-20,Silver,15K Nocturna Valencia Banco Mediolanum,,Valencia,Spain,,
27-Sep-20,Platinum,BMW BERLIN MARATHON,,Berlin,Germany,,
27-Sep-20,Bronze,20km International de Marrakech,,Marrakech,,,
27-Sep-20,Bronze,PZU Warsaw Marathon,,Warsaw,,,
27-Sep-20,Bronze,Bangsaen 10,,Chonburi,,,
4-Oct-20,Gold,Cardiff University / Cardiff Half Marathon,,Cardiff,,,
4-Oct-20,Bronze,Telesia Half Marathon,,Telese Terme,,,
4-Oct-20,Bronze,Amgen Singelloop Breda,,Breda,,,
4-Oct-20,Silver,Košice Peace Marathon,,Košice,,,
4-Oct-20,Platinum,Virgin Money London Marathon,,London,,,
4-Oct-20,Silver,Movistar Medio Maratón de Madrid,,Madrid,,,
11-Oct-20,Bronze,Wizz Air Sofia Marathon,,Sofia,,,
11-Oct-20,Bronze,Zagreb Marathon,,Zagreb,,,
11-Oct-20,Bronze,Generali München Marathon,,München,,,
11-Oct-20,Bronze,Raiffeisen Bank Bucharest Marathon,,Bucuresti,,,
11-Oct-20,Platinum,Bank of America Chicago Marathon,,Chicago,,,
11-Oct-20,Silver,Les 20 KM de Paris,,Paris,,,
