"","Nationality","Name","NOC"
"1","Algeria","Kenza Tifahi Dahmani","ALG"
"2","Algeria","Souad At Salem (-Mahour-Bacha)","ALG"
"3","Algeria","Souad At Salem (-Mahour-Bacha)","ALG"
"4","Argentina","Sandra Edith Torres lvarez","ARG"
"5","Argentina","Rosa Liliana Godoy","ARG"
"6","Australia","Kerryn Anne McCann (Hindmarsh-)","ANZ"
"7","Australia","Kerryn Anne McCann (Hindmarsh-)","AUS"
"8","Australia","Kate Smyth (Harris-)","ANZ"
"9","Australia","Kate Smyth (Harris-)","AUS"
"10","Australia","Jessica Trengove","ANZ"
"11","Australia","Jessica Trengove","AUS"
"12","Australia","Lisa Jane Weightman","ANZ"
"13","Australia","Lisa Jane Weightman","AUS"
"14","Australia","Kerryn Anne McCann (Hindmarsh-)","ANZ"
"15","Australia","Kerryn Anne McCann (Hindmarsh-)","AUS"
"16","Australia","Jessica Trengove","ANZ"
"17","Australia","Jessica Trengove","AUS"
"18","Australia","Susan Elizabeth ""Sue"" Hobson","ANZ"
"19","Australia","Susan Elizabeth ""Sue"" Hobson","AUS"
"20","Australia","Lisa Jane Weightman","ANZ"
"21","Australia","Lisa Jane Weightman","AUS"
"22","Australia","Lisa Jane Weightman","ANZ"
"23","Australia","Lisa Jane Weightman","AUS"
"24","Austria","Eva-Maria Gradwohl (Wilfing-)","AUT"
"25","Austria","Andrea Mayr","AUT"
"26","Austria","Andrea Mayr","AUT"
"27","Bahrain","Eunice Jepkirui Kirwa","BRN"
"28","Bahrain","Lishan Dula Gemgchu","BRN"
"29","Belgium","Els Rens","BEL"
"30","Belgium","Veerle Dejaeghere","BEL"
"31","Belgium","Magda Ilands (-Moons, -Versluys)","BEL"
"32","Belgium","Manuela Soccol","BEL"
"33","Boliva","Sonia Calizaya Huanca","BOL"
"34","Brazil","Solange Cordeiro de Souza","BRA"
"35","Brazil","Anglica de Almeida","BRA"
"36","Brazil","Eleonora Costa Soares de Mendona","BRA"
"37","Brazil","Adriana Aparecida da Silva","BRA"
"38","Brazil","Adriana Aparecida da Silva","BRA"
"39","Brazil","Marily dos Santos","BRA"
"40","Brazil","Graciete Feira de Santana","BRA"
"41","Brazil","Marily dos Santos","BRA"
"42","Bulgaria","Militsa Mircheva","BUL"
"43","Cambodia","Nary Ly","CAM"
"44","Canada","Lanni Marchant","CAN"
"45","Canada","Lanni Marchant","NFL"
"46","Canada","Odette Lapierre","CAN"
"47","Canada","Odette Lapierre","NFL"
