"","Nationality","Name","NOC"
"1","Algeria","Allaoua Khellil","ALG"
"2","Algeria","Hakim Sadi","ALG"
"3","Argentina","Lus Ariel Molina","ARG"
"4","Argentina","Mariano Nicols Mastromarino","ARG"
"5","Argentina","Federico Bruno","ARG"
"6","Argentina","Juan Fernando Molina","ARG"
"7","Australia","Michael Shelley","ANZ"
"8","Australia","Michael Shelley","AUS"
"9","Australia","Martin Dent","ANZ"
"10","Australia","Martin Dent","AUS"
"11","Australia","Robert Francois ""Rob"" de Castella","ANZ"
"12","Australia","Robert Francois ""Rob"" de Castella","AUS"
"13","Australia","Sean Patrick Quilty","ANZ"
"14","Australia","Sean Patrick Quilty","AUS"
"15","Australia","Allan Cleave Evan Lawrence","ANZ"
"16","Australia","Allan Cleave Evan Lawrence","AUS"
"17","Australia","Liam Adams","ANZ"
"18","Australia","Liam Adams","AUS"
"19","Australia","Sisay Bezabeh","ANZ"
"20","Australia","Sisay Bezabeh","AUS"
"21","Australia","Robert Andrew ""Bob"" Vagg","ANZ"
"22","Australia","Robert Andrew ""Bob"" Vagg","AUS"
"23","Australia","Roderic George ""Rod"" de Highden","ANZ"
"24","Australia","Roderic George ""Rod"" de Highden","AUS"
"25","Australia","Scott Westcott","ANZ"
"26","Australia","Scott Westcott","AUS"
"27","Australia","Nicholas ""Nick"" Harrison","ANZ"
"28","Australia","Nicholas ""Nick"" Harrison","AUS"
"29","Australia","Christopher ""Chris"" Wardlaw","ANZ"
"30","Australia","Christopher ""Chris"" Wardlaw","AUS"
"31","Australia","Ian Douglas Sinfield","ANZ"
"32","Australia","Ian Douglas Sinfield","AUS"
"33","Australia","Bradley Dale ""Brad"" Camp","ANZ"
"34","Australia","Bradley Dale ""Brad"" Camp","AUS"
"35","Australia","Robert Francois ""Rob"" de Castella","ANZ"
"36","Australia","Robert Francois ""Rob"" de Castella","AUS"
"37","Australia","Anthony ""Tony"" Cook","ANZ"
"38","Australia","Anthony ""Tony"" Cook","AUS"
"39","Australia","John Allan Farrington","ANZ"
"40","Australia","John Allan Farrington","AUS"
"41","Australia","Christopher ""Chris"" Wardlaw","ANZ"
"42","Australia","Christopher ""Chris"" Wardlaw","AUS"
"43","Australia","Lee Joseph Troop","ANZ"
"44","Australia","Lee Joseph Troop","AUS"
"45","Australia","Robert Francois ""Rob"" de Castella","ANZ"
"46","Australia","Robert Francois ""Rob"" de Castella","AUS"
"47","Australia","Robert Francois ""Rob"" de Castella","ANZ"
"48","Australia","Robert Francois ""Rob"" de Castella","AUS"
"49","Australia","Derek J. Clayton","ANZ"
"50","Australia","Derek J. Clayton","AUS"
"51","Australia","Roderic George ""Rod"" de Highden","ANZ"
"52","Australia","Roderic George ""Rod"" de Highden","AUS"
"53","Australia","Michael Shelley","ANZ"
"54","Australia","Michael Shelley","AUS"
"55","Australia","Lee Joseph Troop","ANZ"
"56","Australia","Lee Joseph Troop","AUS"
"57","Australia","Lee Joseph Troop","ANZ"
"58","Australia","Lee Joseph Troop","AUS"
"59","Australia","Derek J. Clayton","ANZ"
"60","Australia","Derek J. Clayton","AUS"
"61","Austria","Josef Steiner","AUT"
"62","Austria","Michael Buchleitner","AUT"
"63","Austria","Helmut Schmuck","AUT"
"64","Austria","Michael Buchleitner","AUT"
"65","Azerbaijan","Evans Chebet Kiplagat Barkowet","AZE"
"66","Bahrain","Saad Hamada Mubarak Ali","BRN"
"67","Bahrain","Nasar Sakar Saeed","BRN"
"68","Belgium","Karel Lismont","BEL"
"69","Belgium","Walter Van Renterghem","BEL"
"70","Belgium","Karel Lismont","BEL"
"71","Belgium","Maurice Peiren","BEL"
"72","Belgium","Koen Naert","BEL"
"73","Belgium","Eddy Marcel Hellebuyck","BEL"
"74","Belgium","Karel Lismont","BEL"
"75","Belgium","Armand Parmentier","BEL"
"76","Belgium","Florent Caelen","BEL"
"77","Belgium","Gaston Roelants","BEL"
"78","Belgium","Johan Geirnaert","BEL"
"79","Belgium","Willem Van Schuerbeeck","BEL"
"80","Belgium","Karel Lismont","BEL"
"81","Bermuda","Raymond ""Ray"" Swan","BER"
"82","Boliva","Marco Ivn Condori Colque","BOL"
"83","Boliva","Ricardo Condori","BOL"
"84","Boliva","Juan Rodrigo Camacho","BOL"
"85","Boliva","Crispin Quispe","BOL"
"86","Boliva","Juan Rodrigo Camacho","BOL"
"87","Boliva","Policarpio Calizaya Huaca","BOL"
"88","Boliva","Juan Rodrigo Camacho","BOL"
"89","Botswana","Tiyapo Maso","BOT"
"90","Botswana","Benjamin Keleketu","BOT"
"91","Botswana","Ndabili Bashingili","BOT"
"92","Botswana","Ndabili Bashingili","BOT"
"93","Botswana","Bigboy Josie Matlapeng","BOT"
"94","Botswana","Wilson Theleso","BOT"
"95","Brazil","Paulo Roberto de Almeida Paula","BRA"
"96","Brazil","Solonei Rocha da Silva","BRA"
"97","Brazil","Vanderlei Cordeiro de Lima","BRA"
"98","Brazil","Diamantino Silveira dos Santos","BRA"
"99","Brazil","Diamantino Silveira dos Santos","BRA"
"100","Brazil","Vanderlei Cordeiro de Lima","BRA"
"101","Brazil","Vanderlei Cordeiro de Lima","BRA"
"102","Brazil","Eloi Rodrgues Schleder","BRA"
"103","Brazil","Paulo Roberto de Almeida Paula","BRA"
"104","Brazil","Marlson Gomes dos Santos","BRA"
"105","Brazil","Franck Caldeira de Almeida","BRA"
"106","Brazil","Luiz Antnio dos Santos","BRA"
