"","Name","Sex","Age","Height","Weight","bmi","Year","Nationality","SubRegion","continent","Population","GDP","countryWins","subRegionWins","HomeAdvantage","Position","Medal","Time","TimeMins","TimeSecs"
"1","Kenza Tifahi Dahmani","F",35,164,54,20.0773349196907,2016,"Algeria","Northern Africa","Africa",40606052,1.59049e+11,0,0,FALSE,50,FALSE,"2:38:37",158.616666666667,9517
"2","Souad At Salem (-Mahour-Bacha)","F",33,158,50,20.0288415318058,2012,"Algeria","Northern Africa","Africa",37565847,2.09059e+11,0,0,FALSE,37,FALSE,"2:31:15",151.25,9075
"3","Souad At Salem (-Mahour-Bacha)","F",29,158,50,20.0288415318058,2008,"Algeria","Northern Africa","Africa",34860715,1.71001e+11,0,0,FALSE,9,FALSE,"2:28:29",148.483333333333,8909
"4","Sandra Edith Torres lvarez","F",29,157,47,19.0677106576332,2004,"Argentina","Latin America and the Caribbean","Latin America and the Caribbean",38728696,1.64658e+11,0,0,FALSE,55,FALSE,"2:54:48",174.8,10488
"5","Rosa Liliana Godoy","F",34,160,47,18.359375,2016,"Argentina","Latin America and the Caribbean","Latin America and the Caribbean",43847430,5.45476e+11,0,0,FALSE,110,FALSE,"2:52:31",172.516666666667,10351
"6","Kerryn Anne McCann (Hindmarsh-)","F",37,162,47,17.908855357415,2004,"Australia","Australia and New Zealand","Oceania",20127400,6.1333e+11,0,0,FALSE,31,FALSE,"2:41:41",161.683333333333,9701
"7","Kate Smyth (Harris-)","F",35,165,50,18.3654729109275,2008,"Australia","Australia and New Zealand","Oceania",21249200,1.05533e+12,0,0,FALSE,44,FALSE,"2:36:10",156.166666666667,9370
"8","Jessica Trengove","F",28,166,52,18.8706633763972,2016,"Australia","Australia and New Zealand","Oceania",24127159,1.20462e+12,0,0,FALSE,22,FALSE,"2:31:44",151.733333333333,9104
"9","Lisa Jane Weightman","F",29,157,44,17.8506227433162,2008,"Australia","Australia and New Zealand","Oceania",21249200,1.05533e+12,0,0,FALSE,33,FALSE,"2:34:16",154.266666666667,9256
"10","Kerryn Anne McCann (Hindmarsh-)","F",33,162,47,17.908855357415,2000,"Australia","Australia and New Zealand","Oceania",19153000,4.15446e+11,0,0,TRUE,11,FALSE,"2:28:37",148.616666666667,8917
"11","Jessica Trengove","F",24,166,52,18.8706633763972,2012,"Australia","Australia and New Zealand","Oceania",22728254,1.53819e+12,0,0,FALSE,39,FALSE,"2:31:17",151.283333333333,9077
"12","Susan Elizabeth ""Sue"" Hobson","F",42,170,55,19.0311418685121,2000,"Australia","Australia and New Zealand","Oceania",19153000,4.15446e+11,0,0,TRUE,35,FALSE,"2:38:44",158.733333333333,9524
"13","Lisa Jane Weightman","F",37,157,44,17.8506227433162,2016,"Australia","Australia and New Zealand","Oceania",24127159,1.20462e+12,0,0,FALSE,31,FALSE,"2:34:41",154.683333333333,9281
"14","Lisa Jane Weightman","F",33,157,44,17.8506227433162,2012,"Australia","Australia and New Zealand","Oceania",22728254,1.53819e+12,0,0,FALSE,17,FALSE,"2:27:32",147.533333333333,8852
"15","Eva-Maria Gradwohl (Wilfing-)","F",35,168,57,20.1955782312925,2008,"Austria","Western Europe","Europe",8321496,4.30294e+11,0,0,FALSE,57,FALSE,"2:44:24",164.4,9864
"16","Andrea Mayr","F",36,174,53,17.5056150085877,2016,"Austria","Western Europe","Europe",8747358,3.908e+11,0,0,FALSE,64,FALSE,"2:41:52",161.866666666667,9712
"17","Andrea Mayr","F",32,174,53,17.5056150085877,2012,"Austria","Western Europe","Europe",8429991,4.09425e+11,0,0,FALSE,54,FALSE,"2:34:51",154.85,9291
"18","Els Rens","F",33,160,51,19.921875,2016,"Belgium","Western Europe","Europe",11348159,4.67956e+11,0,0,FALSE,84,FALSE,"2:45:52",165.866666666667,9952
