"","Name","Sex","Age","Height","Weight","bmi","Year","Nationality","SubRegion","continent","Population","GDP","countryWins","subRegionWins","HomeAdvantage","marathons","Gmarathons","Smarathons","Bmarathons","avgTime","bestTime","avgTimeScore","bestTimeScore","avgPosition","bestPosition","avgPositionScore","bestPositionScore","avgPerformanceScore","bestPerformanceScore","monthsBestTime","Position","Medal","Time","TimeMins","TimeSecs"
"1","Kenza Tifahi Dahmani","F",35,164,54,20.0773349196907,2016,"Algeria","Northern Africa","Africa",40606052,1.59049e+11,0,0,FALSE,5,0,1,0,160.353333333333,153.883333333333,683.6,774,1,1,270,270,953.6,1044,4,50,FALSE,"2:38:37",158.616666666667,9517
"2","Souad At Salem (-Mahour-Bacha)","F",33,158,50,20.0288415318058,2012,"Algeria","Northern Africa","Africa",37565847,2.09059e+11,0,0,FALSE,3,1,0,0,146.722222222222,145.133333333333,882,907,1.66666666666667,1,245,270,1127,1177,65,37,FALSE,"2:31:15",151.25,9075
"3","Souad At Salem (-Mahour-Bacha)","F",29,158,50,20.0288415318058,2008,"Algeria","Northern Africa","Africa",34860715,1.71001e+11,0,0,FALSE,2,1,0,0,146.408333333333,145.133333333333,887,907,2,1,232.5,270,1119.5,1177,17,9,FALSE,"2:28:29",148.483333333333,8909
"4","Sandra Edith Torres lvarez","F",29,157,47,19.0677106576332,2004,"Argentina","Latin America and the Caribbean","Latin America and the Caribbean",38728696,1.64658e+11,0,0,FALSE,2,0,0,2,165.783333333333,160.383333333333,612,682,1,1,270,270,882,952,4,55,FALSE,"2:54:48",174.8,10488
"5","Rosa Liliana Godoy","F",34,160,47,18.359375,2016,"Argentina","Latin America and the Caribbean","Latin America and the Caribbean",43847430,5.45476e+11,0,0,FALSE,5,0,2,2,165.6,158.6,615,706,4,1,194,270,809,902,4,110,FALSE,"2:52:31",172.516666666667,10351
"6","Kerryn Anne McCann (Hindmarsh-)","F",37,162,47,17.908855357415,2004,"Australia","Australia and New Zealand","Oceania",20127400,6.1333e+11,0,0,FALSE,7,4,2,0,150.497619047619,145.983333333333,824.857142857143,893,1.85714285714286,1,234.285714285714,270,1059.14285714286,1162,52,31,FALSE,"2:41:41",161.683333333333,9701
"7","Kate Smyth (Harris-)","F",35,165,50,18.3654729109275,2008,"Australia","Australia and New Zealand","Oceania",21249200,1.05533e+12,0,0,FALSE,5,2,3,0,156.28,148.85,741.4,849,1.4,1,250,270,991.4,1119,4,44,FALSE,"2:36:10",156.166666666667,9370
"8","Jessica Trengove","F",28,166,52,18.8706633763972,2016,"Australia","Australia and New Zealand","Oceania",24127159,1.20462e+12,0,0,FALSE,4,0,1,0,151.541666666667,147.75,809,866,2,1,233.75,270,1042.75,1136,10,22,FALSE,"2:31:44",151.733333333333,9104
"9","Lisa Jane Weightman","F",29,157,44,17.8506227433162,2008,"Australia","Australia and New Zealand","Oceania",21249200,1.05533e+12,0,0,FALSE,1,1,0,0,152.533333333333,152.533333333333,793,793,4,4,175,175,968,968,4,33,FALSE,"2:34:16",154.266666666667,9256
"10","Kerryn Anne McCann (Hindmarsh-)","F",33,162,47,17.908855357415,2000,"Australia","Australia and New Zealand","Oceania",19153000,4.15446e+11,0,0,TRUE,5,3,1,0,151.783333333333,145.983333333333,805.6,893,2.2,1,220,270,1025.6,1113,4,11,FALSE,"2:28:37",148.616666666667,8917
"11","Jessica Trengove","F",24,166,52,18.8706633763972,2012,"Australia","Australia and New Zealand","Oceania",22728254,1.53819e+12,0,0,FALSE,1,0,1,0,151.033333333333,151.033333333333,816,816,4,4,175,175,991,991,5,39,FALSE,"2:31:17",151.283333333333,9077
"12","Susan Elizabeth ""Sue"" Hobson","F",42,170,55,19.0311418685121,2000,"Australia","Australia and New Zealand","Oceania",19153000,4.15446e+11,0,0,TRUE,4,0,1,0,152.9375,152.616666666667,787.5,792,1.5,1,251.25,270,1038.75,1061,7,35,FALSE,"2:38:44",158.733333333333,9524
"13","Lisa Jane Weightman","F",37,157,44,17.8506227433162,2016,"Australia","Australia and New Zealand","Oceania",24127159,1.20462e+12,0,0,FALSE,7,3,2,1,148.945238095238,146.083333333333,847.714285714286,892,2.42857142857143,1,222.142857142857,270,1069.85714285714,1162,34,31,FALSE,"2:34:41",154.683333333333,9281
"14","Lisa Jane Weightman","F",33,157,44,17.8506227433162,2012,"Australia","Australia and New Zealand","Oceania",22728254,1.53819e+12,0,0,FALSE,4,2,2,0,150.354166666667,148.8,826.25,850,3,1,205,270,1031.25,1120,28,17,FALSE,"2:27:32",147.533333333333,8852
"15","Eva-Maria Gradwohl (Wilfing-)","F",35,168,57,20.1955782312925,2008,"Austria","Western Europe","Europe",8321496,4.30294e+11,0,0,FALSE,9,1,0,0,160.072222222222,150.85,688.222222222222,819,1.55555555555556,1,248.333333333333,270,936.555555555556,1089,4,57,FALSE,"2:44:24",164.4,9864
"16","Andrea Mayr","F",36,174,53,17.5056150085877,2016,"Austria","Western Europe","Europe",8747358,3.908e+11,0,0,FALSE,5,1,2,0,153.146666666667,150.716666666667,784.8,821,3.6,1,203,270,987.8,1091,88,64,FALSE,"2:41:52",161.866666666667,9712
"17","Andrea Mayr","F",32,174,53,17.5056150085877,2012,"Austria","Western Europe","Europe",8429991,4.09425e+11,0,0,FALSE,3,0,1,0,152.472222222222,150.716666666667,794.666666666667,821,1.66666666666667,1,245,270,1039.66666666667,1091,40,54,FALSE,"2:34:51",154.85,9291
"18","Els Rens","F",33,160,51,19.921875,2016,"Belgium","Western Europe","Europe",11348159,4.67956e+11,0,0,FALSE,5,0,5,0,164.533333333333,158.266666666667,628,711,1.4,1,250,270,878,981,10,84,FALSE,"2:45:52",165.866666666667,9952
"19","Veerle Dejaeghere","F",43,159,46,18.1954827736245,2016,"Belgium","Western Europe","Europe",11348159,4.67956e+11,0,0,FALSE,1,1,0,0,151.933333333333,151.933333333333,802,802,7,7,135,135,937,937,11,47,FALSE,"2:37:39",157.65,9459
"20","Magda Ilands (-Moons, -Versluys)","F",38,159,53,20.9643605870021,1988,"Belgium","Western Europe","Europe",9901664,1.63168e+11,0,0,FALSE,9,4,0,0,156.638888888889,153.883333333333,734.444444444444,774,1.11111111111111,1,264.444444444444,270,998.888888888889,1044,23,35,FALSE,"2:38:02",158.033333333333,9482
