"","Name","Sex","Age","Height","Weight","bmi","Year","Nationality","SubRegion","continent","Population","GDP","countryWins","subRegionWins","HomeAdvantage","Position","Medal","Time","TimeMins","TimeSecs"
"1","Allaoua Khellil","M",34,174,59,19.4873827454089,1988,"Algeria","Northern Africa","Africa",24591492,59089067187,0,2,FALSE,35,FALSE,"2:21:12",141.2,8472
"2","Hakim Sadi","M",23,176,56,18.0785123966942,2016,"Algeria","Northern Africa","Africa",40606052,1.59049e+11,0,2,FALSE,104,FALSE,"2:26:47",146.783333333333,8807
"3","Lus Ariel Molina","M",28,172,57,19.2671714440238,2016,"Argentina","Latin America and the Caribbean","Latin America and the Caribbean",43847430,5.45476e+11,0,1,FALSE,89,FALSE,"2:23:55",143.916666666667,8635
"4","Mariano Nicols Mastromarino","M",33,169,56,19.6071566121634,2016,"Argentina","Latin America and the Caribbean","Latin America and the Caribbean",43847430,5.45476e+11,0,1,FALSE,53,FALSE,"2:18:44",138.733333333333,8324
"5","Federico Bruno","M",23,185,66,19.2841490138787,2016,"Argentina","Latin America and the Caribbean","Latin America and the Caribbean",43847430,5.45476e+11,0,1,FALSE,137,FALSE,"2:40:05",160.083333333333,9605
"6","Juan Fernando Molina","M",34,167,57,20.4381655849977,1972,"Argentina","Latin America and the Caribbean","Latin America and the Caribbean",24782949,34733000536,0,1,FALSE,53,FALSE,"2:38:18",158.3,9498
"7","Michael Shelley","M",32,183,60,17.9163307354654,2016,"Australia","Australia and New Zealand","Oceania",24127159,1.20462e+12,0,0,FALSE,47,FALSE,"2:18:06",138.1,8286
"8","Martin Dent","M",33,180,69,21.2962962962963,2012,"Australia","Australia and New Zealand","Oceania",22728254,1.53819e+12,0,0,FALSE,28,FALSE,"2:16:29",136.483333333333,8189
"9","Robert Francois ""Rob"" de Castella","M",35,180,65,20.0617283950617,1992,"Australia","Australia and New Zealand","Oceania",17495000,3.25693e+11,0,0,FALSE,26,FALSE,"2:17:44",137.733333333333,8264
"10","Sean Patrick Quilty","M",30,170,58,20.0692041522491,1996,"Australia","Australia and New Zealand","Oceania",18311000,4.01819e+11,0,0,FALSE,34,FALSE,"2:19:35",139.583333333333,8375
"11","Allan Cleave Evan Lawrence","M",30,171,61,20.8611196607503,1960,"Australia","Australia and New Zealand","Oceania",10276477,18593347519,0,0,FALSE,54,FALSE,"2:38:46.0",158.766666666667,9526
"12","Liam Adams","M",29,178,64,20.1994697639187,2016,"Australia","Australia and New Zealand","Oceania",24127159,1.20462e+12,0,0,FALSE,31,FALSE,"2:16:12",136.2,8172
