"","Name","Sex","Age","Height","Weight","bmi","Year","Nationality","SubRegion","continent","Population","GDP","countryWins","subRegionWins","HomeAdvantage","marathons","Gmarathons","Smarathons","Bmarathons","avgTime","bestTime","avgTimeScore","bestTimeScore","avgPosition","bestPosition","avgPositionScore","bestPositionScore","avgPerformanceScore","bestPerformanceScore","monthsBestTime","Position","Medal","Time","TimeMins","TimeSecs"
"1","Hakim Sadi","M",23,176,56,18.0785123966942,2016,"Algeria","Northern Africa","Africa",40606052,1.59049e+11,0,2,FALSE,2,0,0,0,139.591666666667,138.366666666667,996.5,1017,1.5,1,245,270,1241.5,1287,9,104,FALSE,"2:26:47",146.783333333333,8807
"2","Lus Ariel Molina","M",28,172,57,19.2671714440238,2016,"Argentina","Latin America and the Caribbean","Latin America and the Caribbean",43847430,5.45476e+11,0,1,FALSE,3,0,0,2,142.355555555556,135.383333333333,953.333333333333,1067,1.66666666666667,1,245,270,1198.33333333333,1337,10,89,FALSE,"2:23:55",143.916666666667,8635
"3","Mariano Nicols Mastromarino","M",33,169,56,19.6071566121634,2016,"Argentina","Latin America and the Caribbean","Latin America and the Caribbean",43847430,5.45476e+11,0,1,FALSE,5,1,1,3,136.96,135.45,1040.8,1066,1.4,1,250,270,1290.8,1336,4,53,FALSE,"2:18:44",138.733333333333,8324
"4","Federico Bruno","M",23,185,66,19.2841490138787,2016,"Argentina","Latin America and the Caribbean","Latin America and the Caribbean",43847430,5.45476e+11,0,1,FALSE,2,0,1,0,145.45,135.666666666667,908,1062,2,1,232.5,270,1140.5,1257,4,137,FALSE,"2:40:05",160.083333333333,9605
"5","Michael Shelley","M",32,183,60,17.9163307354654,2016,"Australia","Australia and New Zealand","Oceania",24127159,1.20462e+12,0,0,FALSE,6,3,2,0,132.397222222222,131.25,1119,1139,2,1,228.333333333333,270,1347.33333333333,1409,25,47,FALSE,"2:18:06",138.1,8286
"6","Martin Dent","M",33,180,69,21.2962962962963,2012,"Australia","Australia and New Zealand","Oceania",22728254,1.53819e+12,0,0,FALSE,6,1,3,0,135.211111111111,132.383333333333,1070.5,1119,3.16666666666667,1,209.166666666667,270,1279.66666666667,1389,8,28,FALSE,"2:16:29",136.483333333333,8189
"7","Robert Francois ""Rob"" de Castella","M",35,180,65,20.0617283950617,1992,"Australia","Australia and New Zealand","Oceania",17495000,3.25693e+11,0,0,FALSE,9,3,5,0,129.02962962963,127.85,1178.88888888889,1200,1.33333333333333,1,259.444444444444,270,1438.33333333333,1470,76,26,FALSE,"2:17:44",137.733333333333,8264
"8","Sean Patrick Quilty","M",30,170,58,20.0692041522491,1996,"Australia","Australia and New Zealand","Oceania",18311000,4.01819e+11,0,0,FALSE,3,1,0,0,141.955555555556,133.333333333333,965.666666666667,1103,3.33333333333333,1,221.666666666667,270,1187.33333333333,1373,6,34,FALSE,"2:19:35",139.583333333333,8375
"9","Liam Adams","M",29,178,64,20.1994697639187,2016,"Australia","Australia and New Zealand","Oceania",24127159,1.20462e+12,0,0,FALSE,4,1,0,0,134.854166666667,133.816666666667,1076,1094,1.25,1,257.5,270,1333.5,1358,25,31,FALSE,"2:16:12",136.2,8172
"10","Sisay Bezabeh","M",26,171,55,18.8092062514962,2004,"Australia","Australia and New Zealand","Oceania",20127400,6.1333e+11,0,0,FALSE,4,3,1,0,134.620833333333,131.133333333333,1080.75,1141,2.75,1,210,270,1290.75,1361,10,60,FALSE,"2:25:26",145.433333333333,8726
"11","Roderic George ""Rod"" de Highden","M",31,178,60,18.9370029036738,2000,"Australia","Australia and New Zealand","Oceania",19153000,4.15446e+11,0,0,TRUE,4,0,2,0,149.6625,133.883333333333,880.75,1093,3.5,1,197.5,270,1078.25,1316,8,28,FALSE,"2:18:04",138.066666666667,8284
"12","Scott Westcott","M",40,179,64,19.974407790019,2016,"Australia","Australia and New Zealand","Oceania",24127159,1.20462e+12,0,0,FALSE,10,3,1,0,134.663333333333,131.6,1079.8,1133,3.1,1,215,270,1294.8,1403,138,81,FALSE,"2:22:19",142.316666666667,8539
