athlete,year,performance,place,date
Kenza Tifahi Dahmani,2019,2:50:04,Casablanca (MAR),06 OCT 2019
Kenza Tifahi Dahmani,2018,2:46:03,Tunis (TUN),02 DEC 2018
Kenza Tifahi Dahmani,2017,2:33:21,Łódź (POL),23 APR 2017
Kenza Tifahi Dahmani,2016,2:33:53,Roma (ITA),10 APR 2016
Kenza Tifahi Dahmani,2015,2:39:21,Toulouse (FRA),25 OCT 2015
Kenza Tifahi Dahmani,2013,2:48:25,Toulouse (FRA),27 OCT 2013
Kenza Tifahi Dahmani,2009,2:40:29,Toulouse (FRA),25 OCT 2009
Kenza Tifahi Dahmani,2008,2:39:38,Madrid (ESP),27 APR 2008
Souad At Salem (-Mahour-Bacha),2015,2:27:21,Hannover (GER),19 APR 2015
Souad At Salem (-Mahour-Bacha),2014,2:33:09,Hannover (GER),27 APR 2014
Souad At Salem (-Mahour-Bacha),2012,2:27:21,Praha (CZE),13 MAY 2012
Souad At Salem (-Mahour-Bacha),2008,2:27:41,London (GBR),13 APR 2008
Souad At Salem (-Mahour-Bacha),2007,2:25:08,Roma (ITA),18 MAR 2007
Sandra Edith Torres lvarez,2008,2:48:04,Buenos Aires (ARG),12 OCT 2008
Sandra Edith Torres lvarez,2006,2:49:04,Buenos Aires (ARG),29 OCT 2006
Sandra Edith Torres lvarez,2005,2:39:01,San Sebastián (ESP),27 NOV 2005
Sandra Edith Torres lvarez,2004,2:40:23,Buenos Aires (ARG),11 APR 2004
Sandra Edith Torres lvarez,2001,2:51:11,Buenos Aires (ARG),30 SEP 2001
Rosa Liliana Godoy,2017,2:49:30,"Olympic Stadium, London (GBR)",06 AUG 2017
Rosa Liliana Godoy,2016,2:38:36,Rotterdam (NED),10 APR 2016
Rosa Liliana Godoy,2015,2:39:28,Valencia (ESP),15 NOV 2015
Rosa Liliana Godoy,2014,2:44:04,Buenos Aires (ARG),12 OCT 2014
Rosa Liliana Godoy,2013,2:48:59,Wien (AUT),14 APR 2013
Rosa Liliana Godoy,2012,2:56:53,Rotterdam (NED),15 APR 2012
Kerryn Anne McCann (Hindmarsh-),2006,2:30:54,Melbourne (AUS),19 MAR 2006
Kerryn Anne McCann (Hindmarsh-),2005,2:39:35,Tokyo (JPN),20 NOV 2005
Kerryn Anne McCann (Hindmarsh-),2004,2:41:41,"Olympic Stadium, Athina (GRE)",22 AUG 2004
Kerryn Anne McCann (Hindmarsh-),2002,2:28:30,Osaka (JPN),27 JAN 2002
Kerryn Anne McCann (Hindmarsh-),2001,2:26:04,"Chicago, IL (USA)",07 OCT 2001
Kerryn Anne McCann (Hindmarsh-),2000,2:25:59,London (GBR),16 APR 2000
Kerryn Anne McCann (Hindmarsh-),1999,2:28:44,London (GBR),18 APR 1999
Kerryn Anne McCann (Hindmarsh-),1996,2:36:41,"Olympic Stadium, Atlanta, GA (USA)",28 JUL 1996
