athlete,year,performance,place,date
Allaoua Khellil,2001,2:24:39,Caen (FRA),10 JUN 2001
Allaoua Khellil,1993,2:13:35,Caen (FRA),13 JUN 1993
Allaoua Khellil,1992,2:14:17,Puteaux (FRA),26 APR 1992
Allaoua Khellil,1988,2:21:12,"Olympic Stadium, Jamsil, Seoul (KOR)",02 OCT 1988
Hakim Sadi,2016,2:20:49,Agadir (MAR),24 APR 2016
Hakim Sadi,2015,2:18:22,Algiers (ALG),27 NOV 2015
Lus Ariel Molina,2019,2:28:21,"New York, NY (USA)",03 NOV 2019
Lus Ariel Molina,2016,2:23:55,"Estádio Olímpico, Rio de Janeiro (BRA)",21 AUG 2016
Lus Ariel Molina,2015,2:15:23,Buenos Aires (ARG),11 OCT 2015
Lus Ariel Molina,2014,2:29:07,Buenos Aires (ARG),12 OCT 2014
Lus Ariel Molina,2013,2:22:34,Santa Rosa (ARG),14 APR 2013
Mariano Nicols Mastromarino,2019,2:15:51,Sevilla (ESP),17 FEB 2019
Mariano Nicols Mastromarino,2018,2:20:48,Buenos Aires (ARG),23 SEP 2018
Mariano Nicols Mastromarino,2016,2:15:27,Rotterdam (NED),10 APR 2016
Mariano Nicols Mastromarino,2015,2:15:39,Valencia (ESP),15 NOV 2015
Mariano Nicols Mastromarino,2014,2:15:28,Buenos Aires (ARG),12 OCT 2014
Mariano Nicols Mastromarino,2013,2:17:23,Paris (FRA),07 APR 2013
Mariano Nicols Mastromarino,2012,2:20:51,Buenos Aires (ARG),07 OCT 2012
Federico Bruno,2016,2:15:40,Hamburg (GER),17 APR 2016
Federico Bruno,2009,2:35:14,Santa Rosa (ARG),05 APR 2009
Juan Fernando Molina,1972,2:38:19,"Olympiastadion, München (GER)",10 SEP 1972
Michael Shelley,2018,2:16:46,Gold Coast (AUS),15 APR 2018
Michael Shelley,2017,2:11:38,London (GBR),23 APR 2017
Michael Shelley,2016,2:18:06,"Estádio Olímpico, Rio de Janeiro (BRA)",21 AUG 2016
Michael Shelley,2015,2:11:19,London (GBR),26 APR 2015
Michael Shelley,2014,2:11:15,"Hampden Park, Glasgow (GBR)",27 JUL 2014
Michael Shelley,2013,2:13:11,"Chicago, IL (USA)",13 OCT 2013
Michael Shelley,2012,2:14:10,"Olympic Stadium, London (GBR)",12 AUG 2012
Michael Shelley,2011,2:11:23,Amsterdam (NED),16 OCT 2011
Michael Shelley,2010,2:13:05,Rotterdam (NED),11 APR 2010
Martin Dent,2014,2:19:22,"Hampden Park, Glasgow (GBR)",27 JUL 2014
Martin Dent,2013,2:17:11,"Luzhniki, Moskva (RUS)",17 AUG 2013
Martin Dent,2012,2:16:29,"Olympic Stadium, London (GBR)",12 AUG 2012
Martin Dent,2011,2:12:23,Fukuoka (JPN),04 DEC 2011
Martin Dent,2010,2:13:27,Beppu (JPN),07 FEB 2010
Martin Dent,2009,2:15:24,London (GBR),26 APR 2009
Martin Dent,2008,2:14:46,Fukuoka (JPN),07 DEC 2008
Martin Dent,2004,2:15:12,Canberra (AUS),18 APR 2004
Martin Dent,2002,2:20:04,Fukuoka (JPN),01 DEC 2002
"Robert Francois ""Rob"" de Castella",1992,2:17:44,"Estadio Olímpico, Barcelona (ESP)",09 AUG 1992
"Robert Francois ""Rob"" de Castella",1991,2:09:42,Rotterdam (NED),21 APR 1991
"Robert Francois ""Rob"" de Castella",1988,2:08:49,Tokyo (JPN),14 FEB 1988
"Robert Francois ""Rob"" de Castella",1986,2:07:51,"Boston, MA (USA)",21 APR 1986
"Robert Francois ""Rob"" de Castella",1985,2:08:48,"Chicago, IL (USA)",20 OCT 1985
"Robert Francois ""Rob"" de Castella",1984,2:09:09,"Chicago, IL (USA)",21 OCT 1984
"Robert Francois ""Rob"" de Castella",1983,2:08:37,Rotterdam (NED),09 APR 1983
"Robert Francois ""Rob"" de Castella",1982,2:09:18,Brisbane (AUS),08 OCT 1982
"Robert Francois ""Rob"" de Castella",1981,2:08:18,Fukuoka (JPN),06 DEC 1981
"Robert Francois ""Rob"" de Castella",1980,2:10:44,Fukuoka (JPN),07 DEC 1980
Sean Patrick Quilty,2001,2:29:51,Melbourne (AUS),14 OCT 2001
Sean Patrick Quilty,1999,2:48:58,"La Cartuja, Sevilla (ESP)",28 AUG 1999
Sean Patrick Quilty,1998,2:15:18,London (GBR),26 APR 1998
Sean Patrick Quilty,1997,2:23:10,"Olympic Stadium, Athina (GRE)",10 AUG 1997
Sean Patrick Quilty,1996,2:13:20,Beppu (JPN),04 FEB 1996
Sean Patrick Quilty,1995,2:37:01,"Ullevi Stadium, Göteborg (SWE)",12 AUG 1995
Sean Patrick Quilty,1993,2:15:31,Gold Coast (AUS),18 JUL 1993
Allan Cleave Evan Lawrence,1960,2:38:46,"Stadio Olimpico, Roma (ITA)",10 SEP 1960
Liam Adams,2020,2:10:48,Otsu (JPN),08 MAR 2020
Liam Adams,2019,2:11:36,Gold Coast (AUS),07 JUL 2019
Liam Adams,2018,2:14:38,Kobe (JPN),18 NOV 2018
Liam Adams,2017,2:12:52,Berlin (GER),24 SEP 2017
Liam Adams,2016,2:14:58,Warszawa (POL),24 APR 2016
Liam Adams,2015,2:16:29,"Chicago, IL (USA)",11 OCT 2015
Liam Adams,2014,2:13:49,"Hampden Park, Glasgow (GBR)",27 JUL 2014
Liam Adams,2013,2:14:09,Melbourne (AUS),13 OCT 2013
Sisay Bezabeh,2005,2:13:14,Beppu (JPN),06 FEB 2005
Sisay Bezabeh,2004,2:12:05,London (GBR),18 APR 2004
